# FORM			LEMMA			UPOS		UFEATS						MISC			URL
intlacamo		_			SCONJ		_						Gloss=si.no			_
conitta			itta			VERB		_						_			_
oquimacehualti		_			VERB		_						_			_
mauhcatlacatl		mauhcatlacatl		NOUN		_						Split=mauhca·tlacatl|Gloss=cobarde			https://nahuatl.wired-humanities.org/content/mauhcatlacatl
mauhcatlaca		mauhcatlacatl		NOUN		_						Split=mauhca·tlaca|Gloss=cobardes			https://nahuatl.wired-humanities.org/content/mauhcatlacatl
tlatlacolli		_			NOUN		_						Gloss=pecado			_
ica			ca			NOUN		NounType=Relat					Gloss=con			_
mimiquiz		mimiqui			VERB		_						_			_
inacayo			nacatl			NOUN		_						Gloss=carne			_
zaniyo			_			ADV		_						_			_
oquimacac		maca			VERB		_						_			_
oquimotlac		_			VERB		_						_			_
tecolotl		tecolotl		NOUN		_						Gloss=búho			_
icuauhticpac		cuauhticpac		NOUN		_						Locative=Yes|Split=cuauh·ticpac|Root=cuauh			_
ixacalticpac		xacalticpac		NOUN		_						Locative=Yes|Split=xacal·ticpac|Root=xacal			_
itlapantenco		tlapantenco		NOUN		_						Locative=Yes|Gloss=en.una.terraza			_
tlatetzahuiaya		_			VERB		_						_			_
quitotica		_			VERB		_						_			_
chocatica		choca			VERB		_						_			_
ithualli		_			NOUN		_						Gloss=patio			_
axcan			axcan			ADV		_						Gloss=ahora			_
chane			chantli			NOUN		_						_			_
tlacolli		tlacolli		NOUN		_						_			_
miquiztli		miquiztli		NOUN		_						Gloss=muerte			_
miquiztetzahuitl	miquiztetzahuitl	NOUN		_						Split=miquiz·tetzahuitl			_
oquicac			_			VERB		_						_			_
tlatlatzihuiti		tlatzihui		VERB		_						_			_
titlatlatzihuiti	tlatzihui		VERB		_						_			_
ipiltzin		_			NOUN		_						_			_
itlacauh		_			NOUN		_						_			_
choloz			choloa			VERB		_						_			_
tlalpolihuiz		tlalpolihuia		VERB		_						_			_
canahuaz		canahua			VERB		_						Gloss=reducirá			_
nehneciz		nehneci			VERB		_						_			_
atl			atl			NOUN		_						Gloss=agua			_
quiyahuatl		quiyahuatl		NOUN		_						Gloss=puerta			_
tlahuihuitontoz		huihuitoni		VERB		_						_			_
itoloz			_			VERB		_						_			_
mochipa			_			ADV		_						Gloss=muchas.veces			_
omaxixaya		_			VERB		_						_			_
tepantli		tepantli		NOUN		_						_			_
tlazolli		tlazolli		NOUN		_						Gloss=basura			_
icaltech		caltech			NOUN		_						Gloss=pared			_
ocatca			_			VERB		_						_			_
tlahuehuelontoz		huehueloa		VERB		_						Root=hueloa			_
chicuatli		_			NOUN		_						_			_
chaneque		chantli			NOUN		_						_			_
itlapanixcuac		tlapanixcuac		NOUN		_						Locative=Yes|Split=itlapan·ixcuac			_
tlapanixcuac		tlapanixcuac		NOUN		_						Locative=Yes|Split=tlapan·ixcuac			_
expa			expa			ADV		_						Gloss=tres.veces			_
oppa			oppa			ADV		_						Gloss=dos.veces			_
tecuhtli		tecuhtli		NOUN		_						Gloss=señor			_
mictlan			mictlan			NOUN		_						Gloss=inframundo|Locative=Yes			_
ommat			mati			VERB		_						_			_
intlayohual		tlayohualli		NOUN		_						Gloss=mensajero			_
intitlan		titlan			NOUN		_						Gloss=mensaje			_
tzatzi			tzatzi			VERB		_						_			_
monan			nan			NOUN		_						Gloss=tu.madre			_
conilhuia		ilhuia			VERB		_						_			_
nocne			nocne			ADV		_						_			_
conahua			_			VERB		_						_			_
tzontli			tzontli			NOUN		_						Gloss=cabellos			_
oticcoyoni		_			VERB		_						_			_
cahua			cahua			VERB		_						_			_
cuel			_			ADV		_						Gloss=ya			_
quilmach		quilmach		ADV		_						Gloss=al.parecer			_
itenotzaliz		_			NOUN		_						Gloss=su.citación			_
teixpan			ixpan			NOUN		NounType=Relat					_			_
tlahtolli		tlahtolli		NOUN		_						Gloss=palabra			_
quinamiqui		namiquia		VERB		_						_			_
quiyacahuiltequi	_			VERB		_						_			_
conmonamictiz		_			VERB		_						_			_
oncholoz		_			VERB		_						_			_
conehualtiz		ehualtia		VERB		_						Root=ehua			_
cozatli			cozatli			NOUN		_						_			_
itto			_			VERB		_						_			_
cecepoca		_			VERB		_						_			_
ticecepoca		_			VERB		_						_			_
cuecueyoca		_			VERB		_						_			_
tetequipachoa		_			VERB		_						_			_
tenacayo		nacatl			NOUN		_						Gloss=carne.de.alguien			_
coztic			coztic			ADJ		_						Gloss=amarillo			_
mochichiuh		_			VERB		_						_			_
pipitzca		_			VERB		_						_			_
quitocayotiaya		tocayotia		VERB		_						_			_
mapipitzoa		_			VERB		_						Split=ma·pipiptzoa			_
yaotequihua		_			NOUN		_						_			_
oncalaqui		_			VERB		_						_			_
calaquiya		calaqui			VERB		_						Gloss=entra			_
tochin			tochin			NOUN		_						Gloss=conejo			_
milpan			_			NOUN		_						Locative=Yes			_
mazatl			mazatl			NOUN		_						Gloss=venado			_
contocaz		_			VERB		_						_			_
momazatiliz		_			VERB		_						_			_
motochtiliz		_			VERB		_						_			_
tocatl			tocatl			NOUN		_						Gloss=araña			_
inemachpan		nemachpan		NOUN		_						Gloss=su.enemigo			_
chachalcatiuh		chachalca		VERB		_						_			_
conciauhcahua		ciauhcahua		VERB		_						_			_
ommonenencoa		nenencoa		VERB		_						_			_
ompoliuhtiuh		polihui			VERB		_						_			_
hualmonextia		monextia		VERB		_						_			_
tlayequitoca		toca			VERB		_						_			_
quimottitia		mottitia		VERB		_						_			_
itzon			tzontli			NOUN		_						_			_
cruz			cruz			NOUN		_						_			_
